index	job_id	request_id	stage	dependencies
0	cdl_2023_crop_type_tile_000001__fetch	cdl_2023_crop_type_tile_000001	fetch	
1	cdl_2023_crop_type_tile_000001__validate_download	cdl_2023_crop_type_tile_000001	validate_download	cdl_2023_crop_type_tile_000001__fetch
2	cdl_2023_crop_type_tile_000001__harmonize	cdl_2023_crop_type_tile_000001	harmonize	cdl_2023_crop_type_tile_000001__validate_download
3	cdl_2023_crop_type_tile_000001__inspect_output	cdl_2023_crop_type_tile_000001	inspect_output	cdl_2023_crop_type_tile_000001__harmonize
4	cdl_2024_crop_type_tile_000001__fetch	cdl_2024_crop_type_tile_000001	fetch	
5	cdl_2024_crop_type_tile_000001__validate_download	cdl_2024_crop_type_tile_000001	validate_download	cdl_2024_crop_type_tile_000001__fetch
6	cdl_2024_crop_type_tile_000001__harmonize	cdl_2024_crop_type_tile_000001	harmonize	cdl_2024_crop_type_tile_000001__validate_download
7	cdl_2024_crop_type_tile_000001__inspect_output	cdl_2024_crop_type_tile_000001	inspect_output	cdl_2024_crop_type_tile_000001__harmonize
